iter	Passed	Remaining
632	24876	14422
633	24914	14382
634	24952	14342
635	24989	14302
636	25026	14261
637	25069	14224
638	25106	14184
639	25146	14144
640	25181	14103
641	25215	14060
642	25252	14020
643	25293	13982
644	25339	13946
645	25380	13908
646	25418	13868
647	25452	13826
648	25488	13784
649	25531	13747
650	25570	13708
651	25605	13666
652	25646	13628
653	25688	13590
654	25723	13549
655	25759	13508
656	25801	13469
657	25847	13434
658	25887	13395
659	25922	13354
660	25959	13313
661	25999	13274
662	26034	13233
663	26068	13191
664	26102	13149
665	26137	13108
666	26171	13066
667	26204	13023
668	26239	12982
669	26278	12943
670	26313	12901
671	26352	12862
672	26390	12822
673	26430	12783
674	26465	12742
675	26501	12701
676	26542	12663
677	26583	12624
678	26624	12586
679	26666	12549
680	26705	12509
681	26744	12470
682	26786	12432
683	26828	12394
684	26866	12354
685	26901	12313
686	26939	12273
687	26981	12235
688	27015	12194
689	27055	12155
690	27089	12114
691	27131	12075
692	27171	12037
693	27210	11997
694	27245	11956
695	27283	11917
696	27319	11876
697	27360	11838
698	27398	11798
699	27435	11758
700	27475	11719
701	27511	11678
702	27546	11637
703	27581	11596
704	27618	11556
705	27652	11515
706	27692	11476
707	27727	11435
708	27767	11396
709	27810	11359
710	27857	11323
711	27908	11288
712	27951	11250
713	27998	11215
714	28043	11178
715	28093	11143
716	28135	11104
717	28177	11067
718	28218	11028
719	28256	10988
720	28288	10946
721	28322	10905
722	28354	10863
723	28393	10823
724	28429	10783
725	28463	10742
726	28502	10703
727	28540	10663
728	28576	10622
729	28609	10581
730	28644	10540
731	28679	10500
732	28716	10460
733	28754	10420
734	28789	10379
735	28823	10338
736	28856	10297
737	28890	10256
738	28929	10217
739	28959	10175
740	28990	10133
741	29028	10093
742	29067	10054
743	29109	10016
744	29141	9974
745	29175	9933
746	29216	9895
747	29255	9856
748	29294	9816
749	29327	9775
750	29363	9735
751	29402	9696
752	29439	9656
753	29474	9616
754	29507	9575
755	29543	9535
756	29583	9496
757	29624	9458
758	29666	9419
759	29710	9382
760	29747	9342
761	29784	9302
762	29820	9262
763	29862	9224
764	29901	9185
765	29942	9147
766	29988	9109
767	30029	9071
768	30067	9032
769	30105	8992
770	30147	8954
771	30185	8914
772	30223	8875
773	30259	8835
774	30292	8794
775	30331	8755
776	30371	8716
777	30406	8676
778	30448	8638
779	30487	8598
780	30519	8557
781	30554	8517
782	30590	8477
783	30629	8438
784	30665	8398
785	30698	8358
786	30735	8318
787	30780	8281
788	30829	8244
789	30880	8208
790	30937	8174
791	30987	8138
792	31034	8101
793	31089	8065
794	31134	8028
795	31173	7989
796	31211	7949
797	31245	7909
798	31282	7869
799	31315	7828
800	31350	7788
801	31386	7748
802	31421	7708
803	31455	7668
804	31494	7629
805	31537	7590
806	31578	7552
807	31618	7513
808	31660	7474
809	31701	7436
810	31737	7396
811	31772	7356
812	31809	7316
813	31840	7275
814	31877	7235
815	31913	7196
816	31947	7155
817	31981	7115
818	32022	7076
819	32074	7040
820	32111	7001
821	32147	6961
822	32182	6921
823	32222	6882
824	32254	6841
825	32293	6802
826	32324	6761
827	32362	6722
828	32408	6684
829	32443	6645
830	32475	6604
831	32510	6564
832	32549	6525
833	32581	6485
834	32616	6445
835	32655	6406
836	32692	6366
837	32732	6327
838	32768	6288
839	32808	6249
840	32849	6210
841	32890	6171
842	32932	6133
843	32970	6094
844	33006	6054
845	33046	6015
846	33079	5975
847	33118	5936
848	33157	5897
